Student_ID,Branch,Year,Gender,Attendance,Previous_CGPA,Internal_Marks,Assignment_Score,Study_Hours,LMS_Activity,Library_Visits,Lab_Usage,Certifications,Projects,Hackathons,Internships,Commute_Time,Backlogs,Final_CGPA,Academic_Status,Risk_Level
STU0020,EEE,3rd Year,Male,58.7,6.13,64.54,85.77,5.13,20.0,0,73.34,1,0,0,1,48.25,1,5.34,At Risk,High Risk
STU0021,Mechanical,3rd Year,Female,68.86,8.6,69.22,60.84,6.47,71.89,5,51.9,2,1,1,2,36.11,0,8.07,Good Standing,Low Risk
STU0022,CSE,4th Year,Female,76.31,8.43,71.86,87.13,5.47,69.97,4,73.95,2,3,2,2,49.17,0,8.18,Good Standing,Low Risk
STU0023,EEE,4th Year,Female,83.15,8.03,72.58,81.53,3.48,66.04,7,66.35,0,5,0,1,48.4,0,7.8,Good Standing,Low Risk
STU0024,CSE-AI,3rd Year,Female,78.34,6.48,66.84,90.31,6.37,69.53,1,75.36,0,4,2,2,20.32,0,7.33,Needs Attention,Low Risk
STU0025,Civil,3rd Year,Male,79.54,6.62,74.4,74.3,5.78,50.02,3,61.33,2,2,2,3,52.31,1,6.95,Needs Attention,Medium Risk
STU0026,Mechanical,2nd Year,Female,100.0,5.81,72.1,64.17,3.54,77.01,5,60.11,4,2,0,0,53.95,3,6.5,Needs Attention,High Risk
STU0027,EEE,3rd Year,Male,67.88,7.91,64.23,58.49,5.69,79.78,5,73.46,2,2,2,2,39.45,1,6.91,Needs Attention,Medium Risk
STU0028,CSE,3rd Year,Male,91.35,6.29,62.42,59.82,4.14,48.8,7,77.16,2,4,1,3,40.27,1,6.61,Needs Attention,High Risk
STU0029,CSE,4th Year,Male,76.5,5.95,79.3,54.36,4.81,62.34,2,60.94,4,3,1,0,40.18,0,6.67,Needs Attention,Medium Risk
STU0030,ECE,3rd Year,Male,85.49,8.65,78.29,85.3,5.4,63.33,4,89.79,2,2,0,2,67.23,0,8.27,Good Standing,Low Risk
STU0031,ECE,2nd Year,Female,100.0,8.19,72.69,86.81,6.55,57.27,4,89.69,3,3,2,2,46.89,0,8.11,Good Standing,Low Risk
STU0032,CSE-AI,3rd Year,Male,86.89,7.2,83.09,80.64,3.53,49.42,4,46.27,2,2,1,1,42.25,2,7.32,Needs Attention,High Risk
STU0033,EEE,4th Year,Female,83.72,7.38,48.46,73.6,5.05,68.2,6,58.34,2,2,2,1,48.46,0,6.91,Needs Attention,Low Risk
STU0034,EEE,4th Year,Male,95.99,5.33,65.23,98.73,7.52,72.17,8,71.74,0,3,2,3,48.08,0,7.02,Needs Attention,Medium Risk
STU0035,Civil,3rd Year,Male,91.25,8.33,58.12,72.82,4.24,58.24,6,75.56,3,2,1,1,38.22,0,7.51,Good Standing,Low Risk
STU0036,Civil,4th Year,Female,72.01,6.88,99.08,76.65,4.79,50.55,5,100.0,1,2,1,1,15.97,0,7.07,Needs Attention,Low Risk
STU0037,Civil,2nd Year,Female,82.95,7.8,80.56,73.43,7.52,74.57,3,72.11,1,1,1,3,41.96,0,8.07,Good Standing,Low Risk
STU0038,ECE,2nd Year,Female,62.83,5.26,71.05,69.94,5.46,55.72,2,68.25,1,1,0,1,50.63,2,5.51,At Risk,High Risk
STU0039,EEE,3rd Year,Male,74.6,8.38,81.42,81.57,2.29,63.05,7,52.93,4,2,1,2,45.23,0,7.78,Good Standing,Low Risk
STU0040,EEE,3rd Year,Male,83.14,6.82,85.4,66.4,3.31,61.02,3,46.22,1,0,0,2,31.03,0,6.63,Needs Attention,Low Risk
STU0041,CSE,3rd Year,Female,73.98,6.26,85.27,65.59,5.53,87.93,6,67.99,2,0,1,0,36.48,1,6.39,Needs Attention,Medium Risk
STU0042,ECE,4th Year,Female,82.73,7.19,83.06,82.18,5.13,56.46,2,100.0,0,1,1,0,57.87,1,7.62,Good Standing,Medium Risk
STU0043,Mechanical,2nd Year,Female,79.87,6.96,68.85,68.03,4.74,95.61,7,66.82,2,2,0,2,9.66,0,7.72,Good Standing,Low Risk
STU0044,ECE,2nd Year,Female,85.36,8.47,65.98,75.6,7.74,80.04,4,58.41,0,0,0,1,26.61,0,7.89,Good Standing,Low Risk
STU0045,Mechanical,4th Year,Male,75.76,7.12,60.45,69.9,3.57,97.13,9,76.78,4,3,2,1,42.37,1,7.16,Needs Attention,Medium Risk
STU0046,CSE,2nd Year,Female,70.6,8.73,78.03,73.86,4.39,78.63,9,39.92,1,1,1,3,58.71,0,7.73,Good Standing,Low Risk
STU0047,CSE-AI,3rd Year,Female,94.78,7.8,70.09,65.92,1.56,64.46,3,71.19,5,2,1,2,72.67,0,7.55,Good Standing,Low Risk
STU0048,EEE,3rd Year,Female,75.04,8.3,66.98,66.31,6.24,53.32,10,82.37,2,1,1,1,56.01,0,7.18,Needs Attention,Low Risk
STU0049,CSE,3rd Year,Female,86.6,7.5,66.35,64.16,3.3,62.31,8,55.79,2,1,1,1,29.33,0,6.83,Needs Attention,Low Risk
STU0050,EEE,2nd Year,Male,94.35,8.64,89.4,84.12,6.09,91.8,3,90.53,4,1,2,2,8.29,0,8.87,Good Standing,Low Risk
STU0051,Civil,3rd Year,Female,81.63,6.46,83.43,76.06,5.93,67.23,6,79.9,0,0,0,0,73.62,1,6.95,Needs Attention,Medium Risk
STU0052,CSE-AI,4th Year,Male,71.44,7.6,93.96,85.02,8.02,78.57,5,90.67,1,2,0,1,24.85,0,7.93,Good Standing,Low Risk
STU0053,CSE-AI,4th Year,Female,78.21,7.14,78.35,86.3,5.47,71.31,4,49.36,5,2,1,0,42.63,1,7.12,Needs Attention,Medium Risk
STU0054,CSE,2nd Year,Female,90.18,8.76,72.68,68.48,3.97,71.99,1,67.29,1,2,1,1,37.9,0,8.33,Good Standing,Low Risk
STU0055,CSE-AI,4th Year,Male,82.06,8.85,71.7,84.58,5.18,72.61,3,83.83,1,4,2,0,38.76,1,8.02,Good Standing,Low Risk
STU0056,Mechanical,4th Year,Female,67.95,7.5,59.76,73.83,3.36,75.93,5,47.53,1,1,1,1,19.01,1,6.68,Needs Attention,Medium Risk
STU0057,CSE-AI,2nd Year,Male,85.97,6.34,56.86,72.1,4.98,54.97,5,84.21,1,4,2,2,72.33,1,6.8,Needs Attention,High Risk
STU0058,EEE,3rd Year,Male,87.7,7.88,78.09,89.03,4.2,63.6,7,67.3,1,1,0,0,24.25,0,8.36,Good Standing,Low Risk
STU0059,EEE,3rd Year,Female,76.45,6.0,60.78,80.65,4.39,72.95,2,84.09,1,4,4,0,42.86,1,6.58,Needs Attention,High Risk
STU0060,EEE,3rd Year,Male,86.1,8.96,74.54,69.77,3.15,70.62,4,73.26,3,1,0,2,31.99,0,8.25,Good Standing,Low Risk
STU0061,EEE,2nd Year,Male,82.45,7.07,85.39,79.87,4.95,60.62,4,91.16,3,1,0,2,51.05,0,7.13,Needs Attention,Low Risk
STU0062,Mechanical,4th Year,Male,78.03,7.47,64.01,58.81,5.74,74.67,4,50.62,1,2,1,0,36.23,0,7.38,Needs Attention,Low Risk
STU0063,ECE,3rd Year,Male,67.06,6.89,96.13,76.97,2.02,55.66,8,74.94,2,3,0,0,34.36,1,7.13,Needs Attention,High Risk
STU0064,Civil,3rd Year,Male,90.78,6.69,60.11,56.0,3.47,48.43,9,47.33,3,0,3,1,59.57,1,6.08,Needs Attention,Medium Risk
STU0065,CSE,2nd Year,Male,87.59,8.16,83.88,62.19,4.75,72.72,6,76.29,3,1,1,0,34.18,0,7.77,Good Standing,Low Risk
STU0066,EEE,3rd Year,Male,85.84,7.36,77.1,81.02,1.0,48.82,3,74.92,1,2,1,1,65.4,0,7.34,Needs Attention,Low Risk
STU0067,CSE-AI,2nd Year,Male,95.45,7.54,86.33,41.96,7.11,72.48,5,65.72,2,1,2,1,17.8,0,7.69,Good Standing,Low Risk
STU0068,EEE,4th Year,Female,89.45,6.6,58.61,95.63,3.43,36.73,5,58.24,3,2,1,2,35.51,1,7.04,Needs Attention,High Risk
STU0069,CSE-AI,2nd Year,Female,86.87,8.27,99.68,84.01,3.09,56.4,4,65.12,5,1,1,0,24.53,0,8.21,Good Standing,Low Risk
STU0070,Civil,2nd Year,Male,57.87,8.36,69.85,51.94,4.19,62.76,3,71.46,2,3,2,2,40.55,0,7.16,Needs Attention,Low Risk
STU0071,Civil,2nd Year,Female,91.97,7.31,80.12,100.0,4.71,42.29,2,74.26,5,2,1,0,15.28,0,8.05,Good Standing,Low Risk
STU0072,Civil,2nd Year,Male,80.83,8.64,89.33,100.0,3.37,62.04,3,98.98,2,1,3,3,51.15,0,8.73,Good Standing,Low Risk
STU0073,CSE-AI,4th Year,Male,83.12,7.41,64.74,71.83,5.97,86.96,3,83.1,4,4,0,1,52.94,2,7.52,Good Standing,Medium Risk
STU0074,EEE,4th Year,Female,83.19,8.2,81.91,62.88,5.1,47.68,6,61.2,2,0,2,3,67.11,0,7.55,Good Standing,Low Risk
STU0075,Civil,3rd Year,Male,87.74,6.04,62.74,94.24,3.24,62.47,6,78.69,2,1,2,0,55.25,2,6.69,Needs Attention,High Risk
STU0076,Mechanical,4th Year,Male,91.22,7.82,88.76,69.87,3.72,95.24,2,83.22,1,3,0,0,55.05,0,8.38,Good Standing,Low Risk
STU0077,CSE-AI,4th Year,Male,86.34,7.26,62.88,75.93,2.22,51.01,2,60.16,2,2,2,0,52.25,1,6.89,Needs Attention,Medium Risk
STU0078,CSE-AI,3rd Year,Male,84.75,7.64,72.46,88.61,2.62,90.36,3,80.53,1,3,0,2,36.08,0,7.82,Good Standing,Low Risk
STU0079,EEE,4th Year,Female,82.32,7.6,75.67,72.16,5.08,63.54,10,47.7,1,2,1,1,69.14,0,7.59,Good Standing,Low Risk
STU0080,CSE-AI,2nd Year,Male,50.0,7.61,81.41,71.11,3.26,69.63,1,59.61,0,0,1,2,49.98,0,6.47,Needs Attention,Medium Risk
STU0081,CSE-AI,2nd Year,Male,77.12,8.05,95.62,58.73,7.21,88.66,4,48.64,2,1,1,0,84.53,0,7.77,Good Standing,Low Risk
STU0082,Civil,3rd Year,Male,70.58,6.99,66.58,66.43,4.61,60.24,3,66.83,5,2,0,1,71.57,0,6.88,Needs Attention,Medium Risk
STU0083,EEE,3rd Year,Female,92.11,8.01,85.66,70.87,2.47,78.1,8,62.9,3,1,2,0,46.24,0,7.66,Good Standing,Low Risk
STU0084,Civil,3rd Year,Male,86.19,8.61,95.64,59.14,2.78,82.15,1,64.05,1,5,0,2,47.12,1,8.12,Good Standing,Low Risk
STU0085,Civil,2nd Year,Female,75.42,6.23,73.99,60.22,6.08,57.59,8,82.23,2,0,2,2,54.98,1,6.44,Needs Attention,High Risk
STU0086,EEE,4th Year,Female,76.42,6.8,65.4,74.4,4.39,55.82,8,71.36,2,0,0,1,68.51,0,6.41,Needs Attention,Medium Risk
STU0087,CSE,2nd Year,Male,76.06,6.84,51.24,51.8,5.99,64.34,5,82.0,2,4,0,0,12.37,2,6.58,Needs Attention,High Risk
STU0088,Civil,3rd Year,Male,75.88,6.52,94.6,63.45,3.95,64.84,9,94.4,3,1,1,1,63.62,1,6.35,Needs Attention,Medium Risk
STU0089,Mechanical,4th Year,Female,65.55,7.07,69.07,97.34,3.66,50.74,5,100.0,6,0,2,1,46.72,1,6.73,Needs Attention,High Risk
STU0090,Mechanical,4th Year,Male,63.39,8.43,59.98,69.85,6.18,57.73,10,67.9,3,4,1,1,59.45,1,6.94,Needs Attention,Medium Risk
STU0091,CSE-AI,2nd Year,Female,80.29,8.8,55.7,68.35,3.21,20.0,9,78.02,3,1,1,2,27.05,1,6.96,Needs Attention,Medium Risk
STU0092,Mechanical,3rd Year,Female,90.75,7.6,59.96,69.8,5.23,62.65,4,67.68,3,3,0,0,26.24,0,7.72,Good Standing,Low Risk
STU0093,CSE-AI,2nd Year,Male,74.62,7.21,83.04,69.99,4.18,82.31,5,85.21,1,2,0,1,46.11,1,7.0,Needs Attention,Medium Risk
STU0094,CSE,4th Year,Male,83.03,8.22,84.69,80.9,5.82,41.33,7,82.3,2,1,0,1,57.57,0,7.31,Needs Attention,Low Risk
STU0095,EEE,2nd Year,Female,87.34,5.37,79.83,80.06,7.23,60.59,8,60.09,2,3,3,2,17.83,1,6.75,Needs Attention,Medium Risk
STU0096,EEE,2nd Year,Female,70.07,6.55,73.59,69.31,3.91,100.0,4,62.3,0,0,1,1,32.82,1,6.49,Needs Attention,High Risk
STU0097,EEE,3rd Year,Female,79.8,5.41,57.05,71.43,3.68,67.64,2,90.79,2,2,1,1,18.44,1,6.01,Needs Attention,High Risk
STU0098,Mechanical,3rd Year,Female,73.33,6.54,63.24,89.75,5.5,89.71,8,61.76,3,1,0,1,47.53,0,7.03,Needs Attention,Medium Risk
STU0099,CSE,4th Year,Male,96.06,6.81,58.72,55.88,2.88,51.81,7,68.32,2,4,1,1,75.88,1,6.59,Needs Attention,Medium Risk
STU0100,Mechanical,2nd Year,Male,95.62,8.83,78.87,73.31,6.92,75.18,5,80.13,1,1,1,0,33.97,0,8.78,Good Standing,Low Risk
STU0101,Mechanical,2nd Year,Male,70.08,5.02,59.24,75.62,6.67,49.08,9,67.52,2,2,1,0,54.12,1,5.69,At Risk,High Risk
STU0102,CSE,2nd Year,Male,83.86,7.12,63.43,64.68,3.0,74.42,8,93.01,1,1,1,1,42.19,1,6.76,Needs Attention,Medium Risk
STU0103,CSE,4th Year,Male,90.68,8.06,69.8,72.62,2.13,81.48,6,85.5,2,1,0,0,46.64,1,7.37,Needs Attention,Medium Risk
STU0104,CSE,4th Year,Female,88.48,7.87,51.96,63.06,2.76,77.68,6,56.74,0,2,1,0,29.27,0,7.41,Needs Attention,Low Risk
STU0105,CSE,3rd Year,Male,80.82,8.82,72.56,81.65,2.78,62.48,5,61.22,0,1,0,0,51.79,0,7.79,Good Standing,Low Risk
STU0106,EEE,3rd Year,Male,93.07,7.64,70.71,57.94,5.7,72.4,4,78.81,4,1,0,0,36.38,1,7.59,Good Standing,Low Risk
STU0107,ECE,3rd Year,Male,70.95,7.84,86.21,86.75,6.82,72.55,9,69.22,3,4,1,0,72.25,0,8.21,Good Standing,Low Risk
STU0108,ECE,2nd Year,Male,76.97,5.85,62.16,73.12,5.69,78.66,2,40.89,0,2,1,1,30.8,1,5.94,At Risk,High Risk
STU0109,CSE,2nd Year,Male,71.22,6.61,56.41,68.62,4.15,66.02,8,55.44,0,1,0,0,57.62,0,6.57,Needs Attention,Medium Risk
STU0110,ECE,3rd Year,Female,87.82,5.9,67.51,61.94,5.01,82.9,5,73.51,3,4,0,1,75.52,2,6.6,Needs Attention,High Risk
STU0111,ECE,2nd Year,Female,74.17,8.02,58.82,86.37,3.2,90.95,4,83.36,2,2,1,0,61.4,0,7.32,Needs Attention,Low Risk
STU0112,CSE,3rd Year,Female,78.29,7.81,72.47,66.18,6.15,62.91,5,83.57,4,2,0,3,23.76,0,7.93,Good Standing,Low Risk
STU0113,ECE,4th Year,Male,86.18,7.78,49.68,59.99,5.15,68.74,3,99.44,4,0,2,3,22.05,0,7.42,Needs Attention,Low Risk
STU0114,Mechanical,3rd Year,Female,86.98,6.71,64.74,86.62,5.66,53.52,8,59.63,1,2,1,0,48.16,1,6.88,Needs Attention,Medium Risk
STU0115,CSE-AI,4th Year,Female,70.93,6.62,60.86,63.15,3.41,73.44,7,60.35,0,1,1,1,41.11,0,5.9,At Risk,Medium Risk
STU0116,CSE-AI,2nd Year,Male,90.57,7.69,78.81,72.87,4.25,73.55,4,69.62,3,2,0,1,49.28,0,7.74,Good Standing,Low Risk
STU0117,CSE,3rd Year,Male,84.56,6.9,62.27,83.83,5.59,68.93,2,44.86,3,4,0,1,61.51,0,7.06,Needs Attention,Low Risk
STU0118,EEE,2nd Year,Male,69.18,6.58,51.17,75.9,6.67,70.13,3,69.95,1,2,0,0,41.57,1,5.97,At Risk,High Risk
STU0119,CSE,4th Year,Female,66.72,7.04,69.58,94.77,3.59,98.75,2,67.07,1,0,1,1,28.68,1,7.21,Needs Attention,Medium Risk
STU0120,EEE,4th Year,Female,79.84,6.91,75.84,63.98,5.67,21.81,7,81.88,4,0,0,0,43.73,1,6.98,Needs Attention,Medium Risk
STU0121,CSE-AI,4th Year,Male,88.5,6.72,68.75,71.47,3.43,60.05,5,84.42,2,3,1,0,67.35,1,6.75,Needs Attention,Medium Risk
STU0122,CSE,2nd Year,Male,88.76,6.4,64.66,72.4,7.68,62.5,6,75.36,1,0,0,3,40.64,1,6.88,Needs Attention,Medium Risk
STU0123,Civil,2nd Year,Female,83.56,7.9,63.94,81.45,3.88,91.31,2,70.04,1,2,0,0,78.73,1,7.78,Good Standing,Medium Risk
STU0124,Mechanical,2nd Year,Female,80.49,8.9,73.36,89.46,5.47,75.6,6,75.46,1,2,0,0,55.93,0,8.31,Good Standing,Low Risk
STU0125,ECE,2nd Year,Male,85.12,7.46,61.33,74.88,4.75,75.99,3,58.11,3,3,0,0,54.22,1,7.12,Needs Attention,Medium Risk
STU0126,EEE,4th Year,Male,71.45,7.7,68.06,72.35,8.41,88.16,3,68.76,1,1,0,1,30.18,0,7.12,Needs Attention,Low Risk
STU0127,Civil,4th Year,Female,96.87,7.98,81.01,56.2,4.84,65.12,3,70.25,2,2,0,0,37.75,0,8.02,Good Standing,Low Risk
STU0128,ECE,3rd Year,Male,96.74,7.83,56.38,75.35,3.73,78.44,6,68.87,2,5,3,0,49.4,0,7.82,Good Standing,Low Risk
STU0129,ECE,3rd Year,Female,84.29,6.74,71.48,66.2,5.46,59.51,5,67.43,1,2,2,0,39.47,2,6.93,Needs Attention,High Risk
STU0130,CSE,2nd Year,Female,81.97,9.05,50.53,81.42,5.43,51.15,8,60.68,2,1,2,0,62.7,0,7.09,Needs Attention,Low Risk
STU0131,ECE,4th Year,Female,75.89,6.82,74.74,69.08,4.26,96.71,4,54.62,1,0,1,0,43.84,0,7.6,Good Standing,Low Risk
STU0132,Mechanical,4th Year,Female,85.29,8.08,60.25,71.11,2.86,73.9,5,66.92,0,2,0,0,29.38,0,7.19,Needs Attention,Low Risk
STU0133,Civil,4th Year,Male,73.09,7.98,84.24,56.48,3.71,78.31,5,78.92,0,0,0,0,46.35,0,7.62,Good Standing,Low Risk
STU0134,ECE,3rd Year,Male,57.76,5.74,54.28,52.26,5.82,50.72,7,43.94,5,3,1,1,34.22,1,5.26,At Risk,High Risk
STU0135,CSE,3rd Year,Female,52.86,7.18,77.3,96.33,1.88,76.17,6,62.54,1,0,1,1,53.06,0,6.64,Needs Attention,Medium Risk
STU0136,Mechanical,4th Year,Female,72.01,7.55,86.65,75.56,4.13,96.45,1,100.0,0,4,0,1,31.51,1,7.49,Needs Attention,Medium Risk
STU0137,CSE-AI,4th Year,Female,81.56,7.62,59.63,78.85,5.99,63.56,2,67.11,5,2,3,1,74.18,0,7.17,Needs Attention,Low Risk
STU0138,Civil,4th Year,Female,83.32,7.77,61.66,63.05,4.36,47.91,7,72.27,2,0,1,0,14.11,0,6.86,Needs Attention,Low Risk
STU0139,ECE,3rd Year,Female,75.13,8.18,60.67,84.51,7.76,70.94,9,97.58,2,3,2,2,35.06,0,8.3,Good Standing,Low Risk
STU0140,CSE,4th Year,Male,81.42,7.49,66.17,82.34,1.88,51.43,10,74.79,3,1,4,1,44.39,0,6.94,Needs Attention,Low Risk
STU0141,CSE-AI,4th Year,Male,77.26,7.82,78.21,64.37,3.06,43.08,7,75.13,2,5,0,2,32.42,1,7.71,Good Standing,Medium Risk
STU0142,CSE-AI,2nd Year,Male,70.01,7.46,65.19,61.29,1.03,56.24,7,56.35,0,1,3,0,5.0,0,6.83,Needs Attention,Medium Risk
STU0143,EEE,2nd Year,Male,79.46,6.58,58.55,65.21,7.49,60.12,2,74.69,1,1,0,1,76.05,1,6.04,Needs Attention,Medium Risk
STU0144,Mechanical,3rd Year,Female,88.13,7.53,47.77,73.66,3.08,52.2,5,69.78,2,2,0,2,54.97,0,6.79,Needs Attention,Low Risk
STU0145,ECE,4th Year,Female,70.46,8.17,91.22,76.01,1.52,89.22,5,83.87,0,1,2,1,19.28,0,7.61,Good Standing,Low Risk
STU0146,CSE,4th Year,Female,70.46,8.5,92.17,74.46,3.58,98.23,7,89.16,0,2,1,0,21.86,0,7.9,Good Standing,Low Risk
STU0147,EEE,2nd Year,Female,69.31,7.98,78.72,89.58,2.41,77.89,5,70.45,0,2,1,2,15.38,0,7.9,Good Standing,Low Risk
STU0148,Mechanical,3rd Year,Female,60.63,8.7,62.28,65.42,3.59,74.15,6,75.73,1,2,0,1,39.25,1,7.41,Needs Attention,Medium Risk
STU0149,EEE,2nd Year,Male,75.2,7.88,80.97,60.96,4.56,65.73,4,41.65,2,2,2,1,68.32,0,7.95,Good Standing,Low Risk
STU0150,Civil,2nd Year,Female,87.14,8.28,83.38,74.0,5.71,53.66,11,36.47,2,2,0,1,36.59,0,7.88,Good Standing,Low Risk
STU0151,Mechanical,2nd Year,Male,81.74,8.34,68.95,53.68,4.24,93.65,5,86.4,1,6,0,0,33.6,1,7.86,Good Standing,Low Risk
STU0152,Mechanical,2nd Year,Male,78.31,7.3,72.5,82.35,4.54,66.99,6,32.58,0,2,0,0,59.25,0,7.16,Needs Attention,Low Risk
STU0153,ECE,4th Year,Male,81.29,8.15,86.78,75.18,3.63,60.6,3,74.91,3,1,0,0,47.61,0,7.66,Good Standing,Low Risk
STU0154,Mechanical,4th Year,Male,75.11,6.65,52.31,69.94,2.23,84.24,1,67.4,3,3,1,3,40.81,0,6.82,Needs Attention,Medium Risk
STU0155,EEE,2nd Year,Female,60.52,7.81,83.98,69.28,1.73,66.82,5,88.47,3,0,1,0,55.1,0,7.58,Good Standing,Low Risk
STU0156,Mechanical,3rd Year,Male,87.84,8.02,68.29,84.92,3.95,83.64,5,69.47,1,3,0,1,10.09,0,8.19,Good Standing,Low Risk
STU0157,ECE,3rd Year,Male,90.71,8.45,58.65,84.54,4.63,61.44,5,97.03,2,2,1,1,50.38,0,8.03,Good Standing,Low Risk
STU0158,ECE,3rd Year,Male,72.72,8.24,59.64,71.04,3.84,84.28,6,66.94,1,1,0,2,65.0,0,7.32,Needs Attention,Low Risk
STU0159,Civil,3rd Year,Female,78.49,8.46,61.62,81.1,1.79,83.68,1,87.2,2,2,1,3,19.65,0,7.86,Good Standing,Low Risk
STU0160,EEE,2nd Year,Female,77.63,7.41,57.48,84.36,4.8,89.2,11,47.53,2,3,0,0,35.23,1,7.59,Good Standing,Medium Risk
STU0161,CSE-AI,4th Year,Female,83.51,7.19,93.26,78.03,6.94,56.65,1,35.47,1,1,2,3,6.84,1,7.38,Needs Attention,Low Risk
STU0162,CSE-AI,3rd Year,Male,96.9,7.25,77.89,71.53,4.33,66.67,5,69.58,0,1,1,0,34.13,1,7.32,Needs Attention,Low Risk
STU0163,Mechanical,2nd Year,Male,91.6,7.74,84.77,78.57,3.63,99.16,6,48.99,0,3,0,1,30.32,0,8.01,Good Standing,Low Risk
STU0164,Civil,3rd Year,Female,76.23,5.87,78.75,61.53,4.41,64.06,5,69.1,3,1,1,1,72.65,2,5.98,At Risk,High Risk
STU0165,CSE,3rd Year,Male,85.42,8.7,72.73,74.85,2.84,80.98,5,63.8,2,1,1,1,33.63,1,8.05,Good Standing,Low Risk
STU0166,Mechanical,2nd Year,Female,92.54,7.54,72.9,71.2,2.75,100.0,3,79.08,0,2,1,3,47.26,0,7.55,Good Standing,Low Risk
STU0167,Civil,4th Year,Female,84.08,7.13,67.23,69.32,5.18,38.42,5,54.03,1,4,1,0,66.13,0,7.11,Needs Attention,Low Risk
STU0168,EEE,4th Year,Male,79.95,5.22,68.21,53.28,5.99,63.53,2,76.37,0,5,0,1,5.0,2,6.15,Needs Attention,High Risk
STU0169,EEE,2nd Year,Male,84.46,7.47,55.1,61.67,4.28,68.03,7,82.96,1,0,0,2,44.23,1,6.68,Needs Attention,Medium Risk
STU0170,EEE,4th Year,Male,72.97,7.32,84.98,68.17,1.54,39.22,6,66.91,2,2,1,3,22.01,0,6.53,Needs Attention,Medium Risk
STU0171,EEE,2nd Year,Male,74.43,6.69,50.24,84.74,5.03,60.7,5,77.17,1,1,0,2,22.44,2,6.26,Needs Attention,High Risk
STU0172,EEE,2nd Year,Female,69.36,6.89,59.3,77.43,7.6,52.46,4,55.32,3,5,0,0,26.42,0,7.25,Needs Attention,Low Risk
STU0173,Civil,2nd Year,Female,83.07,7.48,96.14,85.28,4.13,81.72,4,64.26,3,3,1,0,33.0,2,7.84,Good Standing,Medium Risk
